pergunta,resposta,id,data
Serve na utilização de garrafas de 5 litros como da marca cristal vendida nos supermercados?,"Olá, bom dia! Não serve, pois o tamanho do bocal desse produto é menor e curto que os galões convencionais de água. Atenciosamente, Keni Global",MLB37025377,06/10/2025
Existe a garantia de não vazar a bateria de lítio na água?,"Olá, bom dia! A bateria fica protegida e isolada, mas como todo eletrônico não deve ser submerso. O uso correto conforme orientações do fabricante garante uma maior segurança. Atenciosamente, Keni Global",MLB37025377,08/09/2025
Olá. Vem exatamente a da foto? Comprei uma de outro vendedor e o bico era fixo e na foto mostrava móvel.,"Olá, bom dia! Sim, o produto é o mesmo da foto do anúncio. Com bico dobrável. Atenciosamente, Keni Global",MLB37025377,01/09/2025
"Bom dia, quantos litros por minuto ele faz?","Olá, Não temos como responder com precisão a vazão por minuto, pois varia conforme a carga da bateria no momento do uso. Em média com a bateria em seu nível mais cheio, ela tem uma vazão de 1,5l por minuto. Atenciosamente, Keni Global",MLB37025377,01/09/2025
Ola boa tarde o meu chegou sem o carregador veio apenas o cabo USB? o carregador é a parte? Obrigado,"Olá boa tarde! Sim, o produto é acompanhado apenas do cabo USB. A fonte do carregador não acompanha, pode ser usado o mesmo do celular. Ficamos à disposição. Atenciosamente, Keni Global",MLB37025377,22/08/2025
A bomba funciona quando a bateria está carregando?,"Olá, boa noite! Não, por questões de segurança, conforme o fabricante, a bomba não opera enquanto estiver conectada na tomada. Atenciosamente, Keni Global",MLB37025377,18/08/2025
"Bom dia,preciso urgente pra hoje","Olá, boa noite. O prazo de entrega é gerado automaticamete pela plataforma de acordo com a sua localidade. Atenciosamente, Keni Global",MLB37025377,30/07/2025
O usb é tipo c?,"Olá, Boa tarde! Sim.",MLB37025377,21/07/2025
"Fiz a compra, mas desejo trocar a cor branca por uma de cor preta","Olá boa noite! A compra foi feita neste momento? Se sim, solicite o cancelamento por desistência. Assim, o valor será devolvido e você poderá efetuar nova compra escolhendo a cor desejada. Pelo fato de nosso estoque estar no centro de distribuição do mercado livre não conseguimos solicitar a troca de cor, somente via cancelamento e novo pedido. Ficamos à disposição. Atenciosamente, Keni Global",MLB37025377,06/07/2025
"Boa noite, Qual a durabilidade da bomba para que necessite nova carga? Obrigado","Olá, boa noite! A durabilidade da bateria da bomba antes de precisar de uma nova carga varia muito conforme a intensidade do seu uso. Para usos esporádicos, como por exemplo, para abastecer jarras de litro, a durabilidade pode chegar a 20 dias sem necessidade de nova carga. Se precisar de mais informações sobre o produto, estamos à disposição para ajudar! Atenciosamente, Keni Global",MLB37025377,02/06/2025
"Se eu colocar 500ml no fluxo continuo, ele vai marcar no display a quantidade dosada ?","Olá, boa noite! O visor mostra apenas as medidas de 200ml, 600ml ou 800ml para o botão quantitativo de engrenagem. Porém no botão de fluxo contínuo o visor não marca a dosagem de volume. Ficamos à disposição. Atenciosamente, Keni Global",MLB37025377,05/05/2025
Serve na utilização de garrafas de 5 litros como da marca cristal vendida nos supermercados?,"Olá, bom dia! Não serve, pois o tamanho do bocal desse produto é menor e curto que os galões convencionais de água. Atenciosamente, Keni Global",MLB23325369,06/10/2025
Existe a garantia de não vazar a bateria de lítio na água?,"Olá, bom dia! A bateria fica protegida e isolada, mas como todo eletrônico não deve ser submerso. O uso correto conforme orientações do fabricante garante uma maior segurança. Atenciosamente, Keni Global",MLB23325369,08/09/2025
Olá. Vem exatamente a da foto? Comprei uma de outro vendedor e o bico era fixo e na foto mostrava móvel.,"Olá, bom dia! Sim, o produto é o mesmo da foto do anúncio. Com bico dobrável. Atenciosamente, Keni Global",MLB23325369,01/09/2025
"Bom dia, quantos litros por minuto ele faz?","Olá, Não temos como responder com precisão a vazão por minuto, pois varia conforme a carga da bateria no momento do uso. Em média com a bateria em seu nível mais cheio, ela tem uma vazão de 1,5l por minuto. Atenciosamente, Keni Global",MLB23325369,01/09/2025
Ola boa tarde o meu chegou sem o carregador veio apenas o cabo USB? o carregador é a parte? Obrigado,"Olá boa tarde! Sim, o produto é acompanhado apenas do cabo USB. A fonte do carregador não acompanha, pode ser usado o mesmo do celular. Ficamos à disposição. Atenciosamente, Keni Global",MLB23325369,22/08/2025
A bomba funciona quando a bateria está carregando?,"Olá, boa noite! Não, por questões de segurança, conforme o fabricante, a bomba não opera enquanto estiver conectada na tomada. Atenciosamente, Keni Global",MLB23325369,18/08/2025
"Bom dia,preciso urgente pra hoje","Olá, boa noite. O prazo de entrega é gerado automaticamete pela plataforma de acordo com a sua localidade. Atenciosamente, Keni Global",MLB23325369,30/07/2025
O usb é tipo c?,"Olá, Boa tarde! Sim.",MLB23325369,21/07/2025
"Fiz a compra, mas desejo trocar a cor branca por uma de cor preta","Olá boa noite! A compra foi feita neste momento? Se sim, solicite o cancelamento por desistência. Assim, o valor será devolvido e você poderá efetuar nova compra escolhendo a cor desejada. Pelo fato de nosso estoque estar no centro de distribuição do mercado livre não conseguimos solicitar a troca de cor, somente via cancelamento e novo pedido. Ficamos à disposição. Atenciosamente, Keni Global",MLB23325369,06/07/2025
"Boa noite, Qual a durabilidade da bomba para que necessite nova carga? Obrigado","Olá, boa noite! A durabilidade da bateria da bomba antes de precisar de uma nova carga varia muito conforme a intensidade do seu uso. Para usos esporádicos, como por exemplo, para abastecer jarras de litro, a durabilidade pode chegar a 20 dias sem necessidade de nova carga. Se precisar de mais informações sobre o produto, estamos à disposição para ajudar! Atenciosamente, Keni Global",MLB23325369,02/06/2025
"Se eu colocar 500ml no fluxo continuo, ele vai marcar no display a quantidade dosada ?","Olá, boa noite! O visor mostra apenas as medidas de 200ml, 600ml ou 800ml para o botão quantitativo de engrenagem. Porém no botão de fluxo contínuo o visor não marca a dosagem de volume. Ficamos à disposição. Atenciosamente, Keni Global",MLB23325369,05/05/2025
Tem nota fiscal eletronica ?,"Olá! Sim, emitimos nota fiscal eletrônica conforme os dados informados na plataforma. A nota fiscal será emitida para consumidores finais, seja pessoa física ou jurídica. Aguardamos sua compra e permanecemos à sua disposição! Att Blue Eletro.",MLB40469109,11/11/2025
"Teria a opção de 1 torneira gelada, 1 torneira natural e 1 jato gelado?","Sim, você pode selecionar a variação ""2 torneiras e jato natural gelado"". Aguardamos a sua compra! Att. Blue Eletro",MLB40469109,09/06/2025
Eu falo a questão da altura aonde a água precisa sair. Meu ponto na parede tá com 40 cm de altura. A água sai mais alta que isso?,"Italo a dimensão repassada é justamente do ponto hidráulico, onde o bebedouro precisar ser conectado. Aguardamos a sua compra! Att. Blue Eletro",MLB40469109,09/06/2025
Qual a altura do ponto da água de escoamento? Meu ponto aqui está com 40 cm de altura.,"A altura em relação ao solo é de 115 cm, mas pode ser realizado uma adaptação no ambiente de instalação. Aguardamos a sua compra! Att. Blue Eletro",MLB40469109,09/06/2025
Qual a altura do bebedouro,"Boa noite. A altura do bebedouro é de 41 cm. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB39249886,28/11/2025
Esse bebedouro possui filtro?,"Boa tarde. Não, esse bebedouro não possui filtro. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB39249886,28/11/2025
Tem fura galão,"Bom dia. Sim, o bebedouro Veronna BE200 possui um sistema perfurador que facilita a troca do galão sem necessidade de retirar o lacre. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB39249886,18/11/2025
Placa ou comprensor?,"Boa tarde. Este bebedouro utiliza placa para seu funcionamento. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB39249886,08/11/2025
"Boa tarde, gela a água ou só refrigera","Boa tarde. A Veronna BE200 gela a água, oferecendo duas opções de temperatura: natural e gelada. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB39249886,04/11/2025
Vcs vende o suporte?,"Opa, Bom dia SOVI2123999. Infelizmente não possuímos o suporte para venda. Qualquer dúvida, estou à disposição. Atenciosamente, Acauã Ismafer Ferramentas.",MLB39249886,04/11/2025
GUATAS BES,"Opa, Boa tarde AHILISJOAO20230624230809. Poderia me explicar em maiores detalhes para que possa lhe auxiliar da melhor forma possivel? Aguardo o retorno. Atenciosamente, Acauã Ismafer Ferramentas.",MLB39249886,23/10/2025
Ele e 220?,"Bom dia. Sim, o bebedouro Veronna BE200 é bivolt automático, funcionando em 127V e 220V. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB39249886,21/10/2025
Preciso falar com o vendedor,"Boa noite. Se precisar de auxilio com a assistência técnica ou desejar falar com o vendedor, basta contatar pelos canais de atendimento que estão disponíveis. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB39249886,20/10/2025
Qual a altura do bebedouro,"Boa noite. A altura do bebedouro é de 41 cm. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB29662218,28/11/2025
Esse bebedouro possui filtro?,"Boa tarde. Não, esse bebedouro não possui filtro. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB29662218,28/11/2025
Tem fura galão,"Bom dia. Sim, o bebedouro Veronna BE200 possui um sistema perfurador que facilita a troca do galão sem necessidade de retirar o lacre. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB29662218,18/11/2025
Placa ou comprensor?,"Boa tarde. Este bebedouro utiliza placa para seu funcionamento. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB29662218,08/11/2025
"Boa tarde, gela a água ou só refrigera","Boa tarde. A Veronna BE200 gela a água, oferecendo duas opções de temperatura: natural e gelada. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB29662218,04/11/2025
Vcs vende o suporte?,"Opa, Bom dia SOVI2123999. Infelizmente não possuímos o suporte para venda. Qualquer dúvida, estou à disposição. Atenciosamente, Acauã Ismafer Ferramentas.",MLB29662218,04/11/2025
GUATAS BES,"Opa, Boa tarde AHILISJOAO20230624230809. Poderia me explicar em maiores detalhes para que possa lhe auxiliar da melhor forma possivel? Aguardo o retorno. Atenciosamente, Acauã Ismafer Ferramentas.",MLB29662218,23/10/2025
Ele e 220?,"Bom dia. Sim, o bebedouro Veronna BE200 é bivolt automático, funcionando em 127V e 220V. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB29662218,21/10/2025
Preciso falar com o vendedor,"Boa noite. Se precisar de auxilio com a assistência técnica ou desejar falar com o vendedor, basta contatar pelos canais de atendimento que estão disponíveis. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB29662218,20/10/2025
Serve na utilização de garrafas de 5 litros como da marca cristal vendida nos supermercados?,"Olá, bom dia! Não serve, pois o tamanho do bocal desse produto é menor e curto que os galões convencionais de água. Atenciosamente, Keni Global",MLB27930761,06/10/2025
Existe a garantia de não vazar a bateria de lítio na água?,"Olá, bom dia! A bateria fica protegida e isolada, mas como todo eletrônico não deve ser submerso. O uso correto conforme orientações do fabricante garante uma maior segurança. Atenciosamente, Keni Global",MLB27930761,08/09/2025
Olá. Vem exatamente a da foto? Comprei uma de outro vendedor e o bico era fixo e na foto mostrava móvel.,"Olá, bom dia! Sim, o produto é o mesmo da foto do anúncio. Com bico dobrável. Atenciosamente, Keni Global",MLB27930761,01/09/2025
"Bom dia, quantos litros por minuto ele faz?","Olá, Não temos como responder com precisão a vazão por minuto, pois varia conforme a carga da bateria no momento do uso. Em média com a bateria em seu nível mais cheio, ela tem uma vazão de 1,5l por minuto. Atenciosamente, Keni Global",MLB27930761,01/09/2025
Ola boa tarde o meu chegou sem o carregador veio apenas o cabo USB? o carregador é a parte? Obrigado,"Olá boa tarde! Sim, o produto é acompanhado apenas do cabo USB. A fonte do carregador não acompanha, pode ser usado o mesmo do celular. Ficamos à disposição. Atenciosamente, Keni Global",MLB27930761,22/08/2025
A bomba funciona quando a bateria está carregando?,"Olá, boa noite! Não, por questões de segurança, conforme o fabricante, a bomba não opera enquanto estiver conectada na tomada. Atenciosamente, Keni Global",MLB27930761,18/08/2025
"Bom dia,preciso urgente pra hoje","Olá, boa noite. O prazo de entrega é gerado automaticamete pela plataforma de acordo com a sua localidade. Atenciosamente, Keni Global",MLB27930761,30/07/2025
O usb é tipo c?,"Olá, Boa tarde! Sim.",MLB27930761,21/07/2025
"Fiz a compra, mas desejo trocar a cor branca por uma de cor preta","Olá boa noite! A compra foi feita neste momento? Se sim, solicite o cancelamento por desistência. Assim, o valor será devolvido e você poderá efetuar nova compra escolhendo a cor desejada. Pelo fato de nosso estoque estar no centro de distribuição do mercado livre não conseguimos solicitar a troca de cor, somente via cancelamento e novo pedido. Ficamos à disposição. Atenciosamente, Keni Global",MLB27930761,06/07/2025
"Boa noite, Qual a durabilidade da bomba para que necessite nova carga? Obrigado","Olá, boa noite! A durabilidade da bateria da bomba antes de precisar de uma nova carga varia muito conforme a intensidade do seu uso. Para usos esporádicos, como por exemplo, para abastecer jarras de litro, a durabilidade pode chegar a 20 dias sem necessidade de nova carga. Se precisar de mais informações sobre o produto, estamos à disposição para ajudar! Atenciosamente, Keni Global",MLB27930761,02/06/2025
"Se eu colocar 500ml no fluxo continuo, ele vai marcar no display a quantidade dosada ?","Olá, boa noite! O visor mostra apenas as medidas de 200ml, 600ml ou 800ml para o botão quantitativo de engrenagem. Porém no botão de fluxo contínuo o visor não marca a dosagem de volume. Ficamos à disposição. Atenciosamente, Keni Global",MLB27930761,05/05/2025
